# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
141 1.00 123.00 nan 10.19 -0.29
142 0.00 108.00 293.00 2.52 -10.05
142 1.00 105.00 573.00 9.15 -4.31
142 2.00 222.00 nan 10.23 0.42
143 0.00 115.00 18.00 9.05 -5.42
143 1.00 107.00 nan 8.98 -5.27
144 0.00 118.00 62.00 4.83 -9.47
144 1.00 189.00 700.00 8.22 -6.52
144 2.00 101.00 nan 1.34 9.20
145 0.00 103.00 905.00 -0.39 -0.11
145 1.00 127.00 997.00 7.55 -8.06
145 2.00 192.00 36.00 8.18 -6.57
145 3.00 483.00 71.00 7.47 -7.32
145 4.00 114.00 337.00 10.95 -0.94
145 5.00 126.00 nan 7.32 5.62
146 0.00 183.00 227.00 9.87 -4.24
146 1.00 141.00 nan 4.09 8.81
147 0.00 146.00 58.00 7.06 -8.15
147 1.00 126.00 668.00 8.57 -6.34
147 2.00 128.00 nan 1.80 8.65
148 0.00 116.00 380.00 -3.57 -10.53
148 1.00 145.00 210.00 3.38 9.31
148 2.00 163.00 95.00 3.22 8.11
148 3.00 134.00 nan 3.33 8.35
149 0.00 109.00 641.00 -2.70 8.39
149 1.00 110.00 310.00 9.91 2.54
149 2.00 128.00 nan 7.75 -7.23
150 0.00 129.00 880.00 9.14 4.13
150 1.00 325.00 nan 5.30 -9.03
151 0.00 159.00 663.00 5.94 -6.60
151 1.00 125.00 328.00 4.53 7.11
151 2.00 105.00 148.00 -3.70 -9.99
151 3.00 334.00 nan 9.20 -5.86
152 0.00 169.00 240.00 -0.26 8.17
152 1.00 162.00 268.00 8.78 4.53
152 2.00 151.00 112.00 8.66 -5.84
152 3.00 110.00 136.00 6.07 -8.94
152 4.00 190.00 58.00 9.42 -5.16
152 5.00 123.00 20.00 10.41 0.28
152 6.00 142.00 nan 10.37 0.45
153 0.00 127.00 514.00 -0.30 -0.57
153 1.00 116.00 104.00 3.90 -9.91
153 2.00 152.00 83.00 9.07 -5.65
153 3.00 154.00 16.00 9.82 2.81
153 4.00 153.00 57.00 9.95 2.94
153 5.00 237.00 1.00 9.25 -5.74
153 6.00 132.00 nan 9.35 -5.74
154 0.00 170.00 91.00 8.26 -8.27
154 1.00 118.00 71.00 11.07 -0.29
154 2.00 118.00 93.00 6.79 5.85
154 3.00 143.00 584.00 0.19 8.52
154 4.00 124.00 113.00 -4.97 -8.74
154 5.00 171.00 nan 1.44 -10.54
155 nan nan nan nan nan
156 0.00 104.00 182.00 0.47 -10.81
156 1.00 134.00 1106.00 -6.16 -7.95
156 2.00 102.00 nan -6.69 -8.01
157 0.00 129.00 132.00 3.21 -9.75
157 1.00 195.00 837.00 8.98 -6.59
157 2.00 162.00 nan -8.48 4.63
158 0.00 191.00 901.00 7.90 -7.22
158 1.00 200.00 nan -7.53 6.12
159 0.00 198.00 279.00 7.02 7.16
159 1.00 101.00 114.00 10.32 -1.43
159 2.00 139.00 50.00 8.27 -6.35
159 3.00 110.00 nan 4.51 -9.55
160 0.00 144.00 nan -9.74 -0.82
161 0.00 174.00 241.00 7.22 -7.80
161 1.00 120.00 nan 7.43 5.11
162 0.00 242.00 327.00 7.49 -7.33
162 1.00 110.00 1505.00 8.12 6.58
162 2.00 126.00 nan 8.28 5.58
163 0.00 104.00 184.00 5.98 -9.07
163 1.00 148.00 527.00 8.86 3.15
163 2.00 238.00 nan 8.87 4.72
164 0.00 162.00 nan 9.02 -5.81
165 0.00 188.00 nan 6.80 -7.91
